Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
0,1,430000.0,92.0,185.0,2,1.0,17.0,3.0,0,449947939.5,5949,2.0,2.0,1,50.8465573,4.351697,2131778502.0
0,1,455000.0,88.0,110.0,2,1.0,0.0,5.0,0,221943581.2,4760,2.0,2.0,1,50.8292429,4.4432967,789281846.9
0,1,595000.0,56.0,103.0,2,1.0,100.0,2.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,217500.0,57.0,90.0,2,1.0,6.0,2.0,0,1732023153.0,2666,3.0,2.0,2,51.2115284,4.4695254092764,7913652026.0
0,0,219000.0,6.0,61.0,1,1.0,10.0,1.0,0,118259556.8,911,3.0,2.0,2,51.134377,4.4456359,449618719.2
0,1,219500.0,60.0,83.0,2,1.0,0.0,3.0,0,1732023153.0,2666,2.0,2.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,249000.0,52.0,99.0,3,1.0,4.0,1.0,0,58023997.85,1029,2.0,1.0,2,51.2031044,4.5238022,244688391.3
0,1,285000.0,9.0,85.0,2,1.0,8.0,1.0,0,1732023153.0,2666,2.0,2.0,2,51.21029905,4.4403895064496,7913652026.0
0,1,289000.0,44.0,143.0,3,1.0,10.0,5.0,0,118259556.8,911,3.0,1.0,2,51.134377,4.4456359,449618719.2
0,1,295000.0,15.0,103.0,2,1.0,19.0,2.0,0,162169925.4,766,2.0,1.0,2,51.0929433,4.6033828110877,668984722.5
0,1,325000.0,20.0,135.0,2,1.0,24.0,2.0,0,119377035.6,602,2.0,1.0,2,51.1855514,4.83464460985,519220277.6
0,1,190000.0,56.0,94.0,2,1.0,15.0,2.0,0,1732023153.0,2666,2.0,1.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,319000.0,9.0,85.0,2,1.0,18.0,2.0,0,130084207.8,3416,2.0,1.0,2,51.1741789,4.4593335,510455304.8
0,1,244000.0,43.0,142.0,3,1.0,20.0,2.0,0,52582505.55,409,2.0,1.0,2,51.18870335,4.7318844301963,217749002.4
0,1,349000.0,22.0,120.0,2,1.0,2.0,2.0,0,115562826.0,380,2.0,1.0,2,51.0802144,3.8792625,447979571.0
0,1,279000.0,29.0,100.0,2,1.0,0.0,2.0,0,1732023153.0,2666,2.0,1.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,380000.0,74.0,80.0,2,1.0,4.0,2.0,0,160640857.0,3943,3.0,2.0,1,50.8156571,4.4331389,589237519.7
0,1,990000.0,32.0,200.0,3,2.0,25.0,3.0,0,412216167.7,3795,3.0,2.0,1,50.8018201,4.3372348,1561760306.0
1,2,229000.0,54.0,108.0,2,1.0,15.0,5.0,280,94386683.57,1242,2.0,2.0,3,50.6742549,5.5129926,447190994.9
1,2,350000.0,85.0,251.0,3,2.0,15.0,5.0,504,372481433.6,1157,2.0,1.0,2,50.9429755,4.0396424203486,1573573009.0
1,2,329000.0,91.0,347.0,4,1.0,14.0,2.0,250,62560360.48,265,3.0,1.0,2,50.7979739,3.762778,274381719.0
1,2,369000.0,150.0,131.0,3,2.0,4.0,2.0,35,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,179000.0,58.0,90.0,3,1.0,15.0,2.0,0,148816609.0,503,2.0,1.0,2,50.7846322,4.9339239586832,636385296.1
1,2,356000.0,1.0,110.0,2,1.0,16.0,1.0,0,148816609.0,503,2.0,0.75,2,50.7846322,4.9339239586832,636385296.1
1,2,347000.0,1.0,110.0,2,1.0,16.0,2.5,0,148816609.0,503,2.0,0.75,2,50.7846322,4.9339239586832,636385296.1
1,2,368000.0,1.0,119.0,3,2.0,23.0,2.5,0,148816609.0,503,2.0,0.75,2,50.7846322,4.9339239586832,636385296.1
1,2,348032.0,39.0,162.0,4,1.0,15.0,2.5,661,27605310.46,182,3.0,2.0,2,50.94677135,5.0136688435307,117288354.6
1,2,290000.0,52.0,173.0,3,1.0,15.0,3.0,655,59762892.06,283,3.0,1.0,2,51.0554081,4.9018080031354,265259489.6
1,2,299000.0,106.0,113.0,4,1.0,20.0,3.0,75,588839895.0,2852,2.0,1.0,3,50.648205,5.541864,2804560594.0
0,1,355000.0,0.0,91.0,2,0.0,14.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,535000.0,0.0,180.0,4,0.0,17.0,2.5,0,1096990579.0,1709,3.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,149000.0,47.0,44.0,1,1.0,0.0,5.0,0,35402341.18,414,2.0,0.75,2,51.06926315,2.5896028375712,191740308.2
0,1,328000.0,2.0,104.0,2,1.0,15.0,1.0,0,65989828.03,225,2.0,1.0,2,51.12774395,3.3144732597608,284527625.6
0,1,649000.0,5.0,157.0,4,2.0,60.0,1.0,0,74120993.27,624,2.0,0.75,2,50.9924205,3.6495958,255901739.9
