Locality	PopulationDensity	Taxes	Income	Longitude	Latitude
3832	279	29759221.99	134021859.5	5.293672501	50.84319895
3840	226	41923882.66	190640297.2	5.382353155	50.78522885
3850	324	26756672.64	122256647.1	5.168447929	50.86548295
3870	143	25966221.74	123528985.1	5.2807989	50.7381794
3890	155	34978180.77	153048341.6	5.231432693	50.7456072
3891	155	34978180.77	153048341.6	5.174378573	50.7345174
3900	411	104926071.1	546409083.3	5.422976	51.2113458
3910	411	104926071.1	546409083.3	5.4314419	51.2289746
3920	341	110382382.5	573967464.5	5.3076895	51.2305657
3930	332	35190787.92	227240411.9	5.479289572	51.2684314
3940	169	42351421.32	207378357.4	5.341564378	51.11664635
3941	169	42351421.32	207378357.4	5.344043927	51.1567865
3945	346	41486122.91	188774210.7	5.178110974	51.11417145
3950	232	38568179.43	208947850.9	5.599558195	51.1924818
3960	261	53819067.3	267685163.6	5.637817805	51.16613895
3970	735	53617997.84	257256482.9	5.263892429	51.1220584
3971	735	53617997.84	257256482.9	5.226535596	51.11582725
3980	368	78832877.73	342549923.8	5.0893974	51.0681628
3990	190	58439781.82	277904876	5.508709838	51.1420032
4000	2852	588839895	2804560594	5.541864	50.648205
4020	2852	588839895	2804560594	5.6111443	50.6412964
4030	2852	588839895	2804560594	5.599573	50.621845
4031	2852	588839895	2804560594	5.5954054	50.6128164
4032	2852	588839895	2804560594	5.619261	50.6111024
4040	1747	101058143.1	550791515.4	5.6403906	50.6701887
4041	1747	101058143.1	550791515.4	5.5929155	50.6904632
4042	1747	101058143.1	550791515.4	5.563754	50.6933806
4050	809	119092970.4	458037483.4	5.6469688	50.5847922
4051	809	119092970.4	458037483.4	5.6335963	50.6018717
4052	809	119092970.4	458037483.4	5.6387759	50.5589633
4053	809	119092970.4	458037483.4	5.619201	50.5893639
4099	343	39834976.89	167343184.6	5.5355698	50.5742979
4100	1823	160155011.6	869075770.5	5.5355698	50.5742979
4101	1823	160155011.6	869075770.5	5.5049541	50.6168289
4102	1823	160155011.6	869075770.5	5.5389943	50.5992632
4120	315	60679954.75	221575567.1	5.4444346	50.5445135
4121	315	60679954.75	221575567.1	5.4514318	50.5520337
4122	315	60679954.75	221575567.1	5.5215011	50.5446771
4130	376	68270509.61	265171230.3	5.575772744	50.5337249
4140	203	68014756.95	277460292.7	5.628000939	50.53758625
4141	203	68014756.95	277460292.7	5.7172478	50.5248417
4160	113	19193433.7	77992623.24	5.5225261	50.481662
4161	113	19193433.7	77992623.24	5.5122974	50.4969412
4162	113	19193433.7	77992623.24	5.5009881	50.4869156
4163	113	19193433.7	77992623.24	5.4707571	50.4960227
4170	235	17383138.09	84838943.11	5.576470727	50.47491074
4171	235	17383138.09	84838943.11	5.5827847	50.5097627
4180	136	13250199.83	62626676.14	5.5428656	50.4454473
4181	136	13250199.83	62626676.14	5.5680501	50.426751
4190	90	19329334.83	85524342.14	5.605138	50.3999541
4210	101	15177666.56	59737025.17	5.072436	50.5812607
4217	146	23209680.95	93559153.62	5.0971783	50.5508203
4218	146	23209680.95	93559153.62	5.1318708	50.5331675
4219	128	11437405.02	49038541.86	5.0485902	50.5945676
4250	151	15890187.92	62517543.42	5.1679183	50.6841901
4252	151	15890187.92	62517543.42	5.1969427	50.6554534
4253	151	15890187.92	62517543.42	5.187047	50.6649171
4254	151	15890187.92	62517543.42	5.182381	50.66174
4257	230	13750539.31	56108921.56	5.2146261	50.6977331
4260	149	27179674.76	112703625	5.1159746	50.6287517
4261	149	27179674.76	112703625	5.1632447	50.6242037
4263	149	27179674.76	112703625	5.1765528	50.639549
4280	198	72135989.48	295380095.5	5.1498313	50.6720609
4287	229	14373546.27	60195431.49	5.0318166	50.711613
4300	501	63008173.79	270806929.6	5.235361	50.7099793
4317	145	19513673.84	75522211.51	5.256235	50.6229561
4340	343	39834976.89	167343184.6	5.4620018	50.6669712
4342	343	39834976.89	167343184.6	5.4556394	50.6808099
4347	176	14807545.97	60717086.27	5.3985197	50.6660818
4350	263	26974694.67	109476063	5.333978	50.689076
4351	263	26974694.67	109476063	5.3426579	50.6960127
4357	133	15506620.02	60280421.87	5.3199408	50.6478971
4360	207	16085980.19	69182273.99	5.3277139	50.7145424
4367	209	15451839.99	62022000.97	5.397318	50.715885
4400	738	79891672.64	399959924.3	5.409295	50.5985223
4420	3546	53337807.39	312267540.4	5.5190161	50.64257
4430	1242	94386683.57	447190994.9	5.5190612	50.6624326
4431	1242	94386683.57	447190994.9	5.502732	50.665153
4432	1242	94386683.57	447190994.9	5.5129926	50.6742549
4450	274	40226910	169526046.1	5.5290689	50.7106926
4451	274	40226910	169526046.1	5.552484	50.687631
4452	274	40226910	169526046.1	5.5241784	50.7280141
4453	274	40226910	169526046.1	5.5434045	50.7097826
4458	274	40226910	169526046.1	5.5714611	50.7219179
4460	681	63259591.72	329211604.4	5.4512607	50.6547149
4470	345	24238722.35	112293430.8	5.3579041	50.6000686
4480	227	17758209.53	89078303.51	5.3922	50.569046
4500	456	74158031.96	340902649.1	5.1773498	50.5033196
4520	318	57193905.55	242858016.2	5.2358517	50.5512026
4530	208	28554001.36	117693584.2	5.2835083	50.5849842
4537	179	19496212.85	77203983.58	5.3041269	50.5857931
4540	525	48097091.83	225451352.1	5.3240992	50.5497761
4550	159	33879642.89	124656392.9	5.4190411	50.506355
4557	75	12377245.23	49589130.4	5.3564571	50.4735257
4560	62	18320533.42	80249511.7	5.3302671	50.3946271
4570	186	21980862.22	93666124.64	5.2263372	50.4802051
4577	104	18476968.54	75258420.76	5.3017936	50.4416137
4590	69	10662733.46	47465842.14	5.442913	50.4664238
4600	655	61693323.58	284888093.1	5.6944381	50.7806558
4601	655	61693323.58	284888093.1	5.686015	50.6957645
4602	655	61693323.58	284888093.1	5.670164	50.682809
4606	214	32482572	136750257	5.7536486	50.6953487
4607	214	32482572	136750257	5.731253	50.7423427
4608	214	32482572	136750257	5.7764464	50.7195828
4610	1650	38246955.51	186109246.2	5.6654685	50.6447087
4620	1197	55255256.91	265550646.1	5.6832219	50.6168354
