Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
APARTMENT,4102,APARTMENT,2017,299000,New classified,2,89,1,0,1,0,B,1,25,1,148,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4102/20365499
HOUSE,7160,HOUSE,None,120000,New classified,2,120,1,0,1,0,G,1,None,0,None,160,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/chapelle-lez-herlaimont/7160/20365498
APARTMENT,8300,APARTMENT,1990,675000,New classified,2,91,1,0,2,0,A,0,None,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20365502
HOUSE,9300,HOUSE,1930,284000,New classified,2,140,1,0,1,0,C,1,None,0,None,120,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20365496
APARTMENT,1950,APARTMENT,1973,310000,New classified,2,70,1,0,1,0,E,1,3,0,None,0,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/apartment/for-sale/kraainem/1950/20365494
HOUSE,7500,VILLA,1960,995000,New classified,3,584,1,0,2,0,D,1,None,0,None,1785,4,0,AS_NEW,https://www.immoweb.be/en/classified/villa/for-sale/tournai/7500/20365490
APARTMENT,8770,APARTMENT,None,309500,New classified,3,124,1,0,1,0,None,1,17,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/ingelmunster/8770/20365492
HOUSE,5100,HOUSE,2023,379900,New classified,3,170,1,0,1,0,A,1,1,1,1,383,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/jambes/5100/20365481
HOUSE,4432,HOUSE,1970,229000,New classified,2,108,1,0,1,0,G,1,None,1,214,280,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/alleur/4432/20364044
HOUSE,6500,HOUSE,None,399000,New classified,4,268,0,0,2,0,E,1,29,1,2616,2807,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/barben%C3%A7on/6500/20365479
